Year,Population
1811,14400
1840,31900
1856,35800
1863,41500
1897,90000
1913,111400
1914,111600
1923,135400
1926,221544
1931,350251
1933,451500
1937,575704
1939,643689
1956,876000
1959,941962
1962,1025000
1967,1120000
1970,1170133
1973,1238000
1975,1305000
1979,1344474
1982,1373000
1985,1405000
1986,1401000
1987,1425000
1989,1438133
1990,1404000
1991,1445000
1992,1441000
1993,1433000
1994,1425000
1995,1379000
1996,1372000
1997,1371000
1998,1364000
1999,1364900
2000,1357000
2001,1343300
2002,1311252
2003,1309000
2004,1296800
2005,1289500
2006,1283600
2007,1278300
2008,1274700
2009,1272527
2010,1250619
2011,1250600
2012,1254592
2013,1259921
2014,1263873
2015,1267760
2016,1266871
2017,1264075
2018,1259013
2019,1253511
2020,1252236		
2021,1249861
